id,correct,wrong1,wrong2,wrong3,level
1,bear,give me five,daddy,drink,1
2,bird,give me five,home,ankle,1
40,bug,thirsty,thanks,hurry,2
41,bunny,playground,butterfly,brush,2
79,bee,bug,pillow,think,3
80,butterfly,morning,eat,bed,3
135,giraffe,cow,cookie,horse,4
136,teddybear,pig,grape,wolf,4
137,tiger,hi,hat,yucky,4
138,zebra,swing,pillow,help,4
155,hamburger,cat,grandpa,hush,5
156,shorts,comb,apple,shirt,5
157,bucket,TV,mouth,hurt,5
158,comb,yes,knee,kitty,5
175,penguin,hush,kiss,hot,6
176,wolf,rock,ride,chair,6
177,melon,blanket,leg,cracker,6
178,gloves,brush,daddy,toe,6
3,cat,broken,feed,morning,1
4,dog,jump,cake,play,1
5,duck,fork,popcorn,dark,1
6,fish(animal),house,lamp,hot,1
7,kitty,foot,plate,hurt,1
8,car,puppy,hurry,toy,1
9,truck,bee,turtle,kitty,1
10,ball,hot,star,fork,1
11,balloon,think,turn around,crayon,1
12,book,door,tissue,yes,1
13,bubbles,clock,ride,dirty,1
14,apple,hurt,hush,plate,1
15,banana,strawberry,police,bug,1
16,cheese,toothbrush,gloves,train,1
17,cookie,morning,car,bread,1
18,cracker,hamburger,cat,baby,1
19,juice,knee,boots,firetruck,1
20,milk,puppy,help,hurry,1
21,hat,hurt,cheese,kick,1
22,shoe,apple,hot,cake,1
23,ear,think,bread,cup,1
24,eye,think,fork,toothbrush,1
25,nose,cloud,clown,dog,1
26,baby,pizza,car,egg,1
27,daddy,lady,knee,bicycle,1
28,grandma,bunny,sink,pizza,1
29,grandpa,play,ice cream,coat,1
30,mommy,write,moon,egg,1
31,hello,eye,toy,go,1
32,hi,butterfly,pants,cat,1
34,no,ball,bus,kitty,1
35,hush,movie,bear,melon,1
36,thanks,tiger,knee,tree,1
37,yes,bed,home,tooth,1
38,hot,paper,light,cheese,1
39,up,shirt,pick,head,1
42,cow,telephone,cheese,cold,2
43,horse,playground,truck,nap,2
44,pig,egg,playground,grandma,2
45,puppy,cup,kiss,hug,2
46,airplane,bucket,drink,tissue,2
47,bicycle,hi,home,movie,2
48,boat,play,bee,fish(food),2
49,bus,cold,broken,read,2
50,toy,mouth,jump,ride,2
51,diaper,wet,arm,clock,2
52,arm,ride,puppy,nose,2
53,finger,bubbles,juice,cake,2
54,hair,bubbles,coat,wet,2
55,hand,egg,tissue,up,2
56,head,chair,toy,bottle,2
57,mouth,diaper,bucket,popcorn,2
58,toe,light,strawberry,milk,2
59,blanket,firetruck,rain,monkey,2
60,bottle,broken,think,comb,2
61,cup,bubbles,diaper,candy,2
62,light,noisy,kick,clown,2
63,spoon,tissue,bunny,butterfly,2
64,telephone,soap,fish(animal),wolf,2
65,bed,grandma,keys,horse,2
66,chair,pizza,police,comb,2
67,door,yes,bite,daddy,2
68,potty,up,bucket,penguin,2
69,flower,arm,soap,cake,2
70,moon,keys,flower,sweater,2
71,star,sink,toothbrush,present,2
72,tree,cat,hello,thanks,2
73,drink,toothbrush,police,ankle,2
74,eat,boots,blue,tissue,2
75,go,bubbles,star,hush,2
76,kiss,monkey,down,lamp,2
77,cold,chocolate,paper,hair,2
78,down,kitchen,monkey,fish(animal),2
81,chicken,yucky,potty,TV,3
82,elephant,cereal,think,write,3
83,frog,ball,egg,hello,3
84,lion,bus,teddybear,toothbrush,3
85,monkey,melon,go,grape,3
86,turtle,telephone,door,coat,3
87,train,crayon,bottle,yes,3
88,crayon,egg,tissue,tooth,3
89,bread,paper,melon,turtle,3
90,cake,home,chase,go,3
91,candy,cow,horse,tooth,3
92,cereal,blanket,eye,leg,3
93,egg,truck,clock,bucket,3
94,fish(food),bug,balloon,head,3
95,grape,hamburger,toe,hair,3
96,ice cream,baby,bed,cereal,3
97,pizza,TV,egg,duck,3
98,boots,jump,bread,hand,3
99,coat,melon,blue,pour,3
100,pants,cow,bottle,rock,3
101,shirt,chair,eat,soap,3
102,sock,apple,airplane,money,3
103,foot,sit,hair,light,3
104,knee,crayon,paper,ice cream,3
105,leg,cereal,grandpa,shake,3
106,tooth,tissue,penguin,beach,3
107,box,coat,eat,playground,3
108,brush,strawberry,wait,noisy,3
109,fork,dark,house,crayon,3
110,keys,cracker,popcorn,bear,3
111,paper,sit,daddy,chair,3
112,pillow,wet,frog,drawer,3
113,soap,kitty,puppy,cake,3
114,toothbrush,crayon,walk,keys,3
115,TV,head,bird,out,3
116,rain,dark,hug,bite,3
117,rock,dog,penguin,pig,3
118,swing,broken,cold,kick,3
119,home,hand,baby,bubbles,3
120,house,banana,cake,pick,3
121,nap,toy,giraffe,hair,3
122,bite,sink,cereal,hat,3
123,help,beach,horse,cookie,3
124,hug,up,morning,play,3
125,jump,frog,playground,sock,3
126,play,gloves,tongue,cookie,3
127,read,jump,pizza,bear,3
128,sit,fork,hair,lady,3
129,walk,knee,beach,tongue,3
130,blue,shake,hurry,truck,3
131,dirty,milk,kitchen,movie,3
132,wet,beach,hand,toothbrush,3
133,yucky,milk,drink,down,3
134,out,lion,turtle,hug,3
139,firetruck,thirsty,bed,tongue,4
140,present,duck,bird,airplane,4
141,chocolate,bug,bus,shoe,4
142,popcorn,sweater,house,sit,4
143,strawberry,hat,soap,foot,4
144,sweater,pick,pizza,lion,4
145,tongue,soap,swing,boots,4
146,clock,eye,elephant,book,4
147,money,fish(animal),ball,lamp,4
148,plate,cracker,no,crayon,4
149,tissue,shoe,eat,flower,4
150,kitchen,cookie,house,cup,4
151,kick,mommy,chair,leg,4
152,ride,drawer,help,pick,4
153,broken,kitty,no,juice,4
154,hurt,hamburger,firetruck,kitchen,4
159,scissors,bug,hamburger,hat,5
160,drawer,pig,train,tougue,5
161,sink,cat,shirt,ankle,5
162,cloud,play,strawberry,chase,5
163,beach,hot,milk,monkey,5
164,give me five,grandma,fish(food),grape,5
165,turn around,keys,door,ride,5
166,climb,fish(animal),night night,sink,5
167,feed,giraffe,light,boat,5
168,pour,bread,nap,money,5
169,smile,car,crayon,bread,5
170,wait,boat,money,bubbles,5
171,write,chicken,cow,bucket,5
172,dark,wait,yes,popcorn,5
173,sick,bee,turn around,scissors,5
174,thirsty,horse,hush,boots,5
179,slipper,bottle,smile,shirt,6
180,ankle,ice cream,brush,cow,6
181,lamp,eye,pig,TV,6
182,movie,nose,slipper,cold,6
183,playground,lion,hamburger,hair,6
184,clown,beach,fork,shake,6
185,lady,juice,wait,balloon,6
186,police,cracker,shoe,eat,6
187,chase,coat,ice cream,tooth,6
188,hurry,zebra,teddybear,fish(food),6
189,pick,keys,shoe,daddy,6
190,shake,dog,bee,movie,6
191,think,mommy,bee,comb,6
192,noisy,cat,TV,yes,6
193,morning,pig,crayon,money,6
194,on top of,grandma,door,coat,6
194,on top of,grandma,door,coat,6
